Mov10_kd_2	Mov10_kd_3	Mov10_oe_1	Mov10_oe_2	Mov10_oe_3	Control_1	Control_2	Control_3
ENSG00000000003	5851	3480	3254	2952	1870	4184	3447	2732
ENSG00000000005	32	14	25	34	23	29	26	25
ENSG00000000419	2266	1301	1853	1677	1174	1441	1255	868
ENSG00000000457	871	554	624	542	346	477	406	315
ENSG00000000460	2212	1222	1195	1105	625	1350	1190	921
ENSG00000000938	2	0	0	0	0	1	1	0
ENSG00000000971	9	1	13	19	5	11	17	10
ENSG00000001036	4330	2708	3101	2775	1687	3171	2534	1947
ENSG00000001084	4719	2762	2591	2405	1496	2865	2386	1817
ENSG00000001167	4533	2611	2700	2362	1440	2971	2314	1842
ENSG00000001460	1354	812	1031	1010	531	805	673	554
ENSG00000001461	3013	1667	2106	1867	1087	1883	1586	1268
ENSG00000001497	4379	2638	3067	2830	1562	2949	2584	2010
ENSG00000001561	2558	1558	1988	1747	1229	1752	1496	1034
ENSG00000001617	560	321	538	481	259	389	330	268
ENSG00000001626	2	5	3	0	1	2	2	3
ENSG00000001629	2821	1695	1739	1489	974	1871	1558	1153
ENSG00000001630	4403	2802	3548	3249	2067	3248	2749	2060
ENSG00000001631	2808	1775	1971	1736	1111	1921	1661	1275
ENSG00000002016	1484	829	988	914	546	973	808	675
ENSG00000002079	13	4	4	2	1	6	7	5
ENSG00000002330	905	522	700	800	402	883	806	604
ENSG00000002549	2087	1223	1787	1700	979	2133	1726	1383
ENSG00000002586	6492	3916	4251	4188	2310	4168	3342	2781
ENSG00000002587	30	23	27	27	16	17	22	21
ENSG00000002726	3	0	4	1	1	3	4	4
ENSG00000002745	17	10	12	14	12	21	8	6
ENSG00000002746	8	10	17	8	9	16	10	6
ENSG00000002822	1193	732	688	631	333	636	514	438
ENSG00000002834	4186	2399	2616	2514	1366	2955	2650	2044
ENSG00000002919	1533	855	895	834	495	1052	867	685
ENSG00000002933	3	4	8	6	1	13	10	10
ENSG00000003056	7010	4051	4068	3542	2170	3478	2849	2283
ENSG00000003096	1306	828	941	809	516	712	669	510
ENSG00000003137	376	246	414	399	209	450	351	318
ENSG00000003147	319	227	387	394	198	296	278	216
ENSG00000003249	875	502	730	769	388	644	577	473
ENSG00000003393	2575	1575	1799	1634	1010	1759	1529	1202
ENSG00000003400	562	336	461	401	250	414	408	320
ENSG00000003402	1434	928	1325	1150	693	1058	953	741
ENSG00000003436	368	297	586	499	397	405	343	265
ENSG00000003509	1344	819	1098	1035	611	931	816	695
ENSG00000003756	8040	4549	5211	4733	2801	4731	3910	3375
ENSG00000003987	178	108	247	201	114	248	210	193
ENSG00000003989	2281	1419	1841	1623	1107	1529	1347	997
ENSG00000004059	4659	2872	2907	3040	1560	3621	3087	2391
ENSG00000004139	395	266	219	225	140	212	228	196
ENSG00000004142	8171	4725	4821	4619	2275	5640	4791	3781
ENSG00000004399	1947	1118	1848	1893	977	909	759	667
ENSG00000004455	9933	6157	7858	7350	4213	7328	5915	4814
ENSG00000004468	8	9	3	2	3	7	1	0
ENSG00000004478	15401	9140	11470	10697	5828	11038	8894	7395
ENSG00000004487	12893	7379	9283	8798	5063	9192	7924	6276
ENSG00000004534	6002	3693	4192	3884	2409	3635	3269	2599
ENSG00000004660	878	524	538	535	293	536	443	435
ENSG00000004700	4441	2500	3259	2927	1925	3300	2867	2122
ENSG00000004766	1762	1072	953	819	527	1088	968	677
ENSG00000004776	36	16	17	16	13	16	9	16
ENSG00000004777	558	331	564	585	291	704	567	524
ENSG00000004779	3049	1761	1948	1790	1102	2125	1721	1482
ENSG00000004799	146	89	240	211	151	143	108	103
ENSG00000004809	0	1	0	2	0	0	0	0
ENSG00000004838	34	30	34	37	19	34	26	24
ENSG00000004846	1	3	7	5	1	3	9	5
ENSG00000004848	14	7	10	14	7	8	11	5
ENSG00000004864	4802	2772	2480	2244	1336	3116	2602	2000
ENSG00000004866	1540	914	968	860	504	944	766	609
ENSG00000004897	9781	6049	7475	6732	4320	7612	6819	4992
ENSG00000004939	1	5	1	1	2	4	6	3
ENSG00000004948	24	5	16	15	7	12	5	10
ENSG00000004961	2812	1498	1596	1387	904	1516	1306	991
ENSG00000004975	2912	1774	1948	1958	1006	2170	1803	1467
ENSG00000005001	3	1	1	2	0	1	0	0
ENSG00000005007	9827	5462	5144	5321	2893	5588	4807	3697
ENSG00000005020	4010	2427	2617	2495	1617	2377	1956	1502
ENSG00000005022	16568	9562	10918	10731	5766	11185	9130	7482
ENSG00000005059	1407	880	1207	1123	654	1081	901	727
ENSG00000005073	829	482	615	585	324	725	641	476
ENSG00000005075	1687	1037	965	953	419	1280	927	833
ENSG00000005100	5521	3149	2882	2647	1444	3258	2810	2161
ENSG00000005102	25	32	34	39	15	56	41	38
ENSG00000005108	39	8	36	45	18	31	17	13
