ensembl_id	SRR349741	SRR349742	SRR349743	SRR349744	SRR349745	SRR349746	SRR349747	SRR349748	SRR349749	SRR349750	SRR349751	SRR349752
ENSG00000000003.14	7426	8294	6730	8942	11702	28195	7106	14433	30503	11516	39529	30064
ENSG00000000005.5	0	38	0	0	0	0	0	0	0	0	0	0
ENSG00000000419.12	12035	6552	4504	8162	7301	11586	6925	1443	5886	2309	3578	3290
ENSG00000000457.13	916	1097	1446	1256	2122	1862	1136	418	976	342	798	493
ENSG00000000460.16	3650	1266	2129	1577	4830	3763	1692	380	987	313	427	102
ENSG00000000938.12	833	1091	681	744	823	834	5845	188	602	264	188	114
ENSG00000000971.15	10211	7755	4422	9226	6835	5104	6276	411	1214	796	973	327
ENSG00000001036.13	6381	5778	4886	7089	5231	10038	7985	683	1550	759	979	759
ENSG00000001084.10	61696	22126	7264	57674	81262	86312	18992	2079	7233	3260	5649	3190
ENSG00000001167.14	8534	5045	8183	7519	9618	10218	4702	1290	4234	1450	3193	1810
ENSG00000001460.17	2806	1511	1194	1833	4694	4091	2705	367	1279	722	998	1308
ENSG00000001461.16	3621	3285	4262	3180	5609	7206	3847	1887	4662	1977	5588	6788
ENSG00000001497.16	910	1976	1216	1373	3576	2704	3065	509	842	380	1130	376
ENSG00000001561.6	2121	719	874	974	1211	491	2276	418	494	263	225	76
ENSG00000001617.11	9472	9544	6296	7840	7143	13151	8024	6557	14049	8234	14526	9872
ENSG00000001626.14	37	114	0	0	38	0	0	141	378	63	272	363
ENSG00000001629.9	18495	15812	11366	14042	13737	16717	15049	1569	4972	2241	3299	2037
ENSG00000001630.15	37918	16717	12273	32287	12415	28102	14509	8498	23013	11140	13643	8777
ENSG00000001631.15	8846	5761	3574	6281	5865	8024	6341	916	1797	741	1664	952
ENSG00000002016.17	150	341	639	357	1136	558	1355	76	454	225	76	226
ENSG00000002079.12	38	50	0	0	55	96	26	0	0	0	0	20
ENSG00000002330.13	6668	1638	1141	1217	637	1580	2152	416	818	492	1697	1406
ENSG00000002549.12	4881	5136	2050	5037	4546	8356	12565	1015	2583	1475	1916	1552
ENSG00000002586.18	8488	13254	7792	12517	11769	11877	15480	4439	12735	7344	9868	11388
ENSG00000002586.18_PAR_Y	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000002587.9	376	645	418	662	456	4975	504	3108	6868	1791	5811	1466
ENSG00000002726.20	0	38	0	0	0	38	152	569	2976	303	152	303
ENSG00000002745.12	190	0	0	76	38	338	152	0	38	0	0	0
ENSG00000002746.14	266	456	365	555	190	724	190	0	38	76	38	0
ENSG00000002822.15	2557	1945	1322	1836	2448	4172	3359	264	378	228	929	736
ENSG00000002834.17	10796	13903	12070	16420	14134	23707	27205	3771	6150	3285	4939	4341
ENSG00000002919.14	5046	4999	3262	7403	3608	6296	6573	2532	5432	2680	4631	4034
ENSG00000002933.7	2906	3120	1094	2739	2113	1481	5229	364	565	114	228	114
ENSG00000003056.7	21879	18874	32300	19816	30379	31366	43012	3624	8575	3826	6399	4117
ENSG00000003096.13	7065	3520	1927	8157	24092	14245	5641	380	1100	571	758	304
ENSG00000003137.8	339	870	190	662	164	787	730	38	304	76	227	114
ENSG00000003147.17	226	408	190	1774	228	114	369	76	532	339	511	493
ENSG00000003249.13	526	1441	342	1111	759	3541	1029	1956	2899	1328	2715	2759
ENSG00000003393.14	3115	2393	2839	2955	4988	4042	4437	417	606	300	1226	872
ENSG00000003400.14	985	1137	1096	1240	1355	5441	1586	1364	3916	1746	3976	2980
ENSG00000003402.19	14862	9850	11803	7589	12754	22452	15440	7867	24576	5808	19272	21960
ENSG00000003436.14	1403	2111	1222	1921	2667	4845	2862	114	721	189	508	109
ENSG00000003509.15	3211	2360	1070	3577	2600	3650	2489	264	892	189	699	190
ENSG00000003756.16	2578	5448	4029	5954	4873	4741	8540	1382	2930	1873	4062	2271
ENSG00000003987.13	117	179	62	190	190	287	225	0	0	0	76	0
ENSG00000003989.16	225	7548	1162	3740	1590	1650	4341	2534	5614	2727	3275	1776
ENSG00000004059.10	14446	18598	9810	12904	12387	25412	13090	6080	17153	10825	12379	12738
ENSG00000004139.13	2302	3077	2284	3885	1726	1336	1965	228	607	266	248	294
ENSG00000004142.11	4460	7967	3253	8914	7555	10097	8251	2226	4806	2832	4869	3000
ENSG00000004399.12	5678	5928	4414	3544	3155	6302	12370	265	376	418	263	120
ENSG00000004455.16	9471	9002	9826	11520	10644	19929	16376	3411	10944	4602	6588	4380
ENSG00000004468.12	1582	8297	0	4890	1357	683	565	340	833	190	304	113
ENSG00000004478.7	10089	12089	19057	12048	24468	34527	35940	3770	12867	3933	15539	16713
ENSG00000004487.15	8299	8575	9218	9881	9480	19499	41583	1142	1823	1392	2192	1702
ENSG00000004534.14	1188	2650	1381	3063	3003	2214	2992	608	863	607	1080	1063
ENSG00000004660.14	1687	4355	1099	2835	1628	2146	1993	302	418	301	526	318
ENSG00000004700.15	10094	6433	15097	7282	15764	10856	13515	820	13485	3054	9124	25444
ENSG00000004766.15	16049	7239	5932	8180	7090	12636	5959	2284	7638	2521	5389	4222
ENSG00000004776.11	0	227	454	114	342	190	76	0	0	38	38	0
ENSG00000004777.18	380	268	341	1998	54	167	413	76	76	0	151	0
ENSG00000004779.9	7130	5846	3755	6137	8027	12429	7174	1692	4965	1975	3208	2158
ENSG00000004799.7	76	342	152	152	720	569	901	0	114	152	108	152
ENSG00000004809.13	103	0	75	38	0	140	38	0	0	0	13	0
ENSG00000004838.13	38	8	0	0	1	2	38	0	0	0	8	23
ENSG00000004846.16	0	38	37	38	0	119	0	0	33	0	0	0
ENSG00000004848.7	0	0	0	0	24	0	29	145	38	106	0	38
ENSG00000004864.13	8028	5674	1399	4312	5667	6767	9574	1174	1757	633	1893	1546
ENSG00000004866.19	3214	5338	3949	3538	5308	6503	5312	1023	2003	1100	749	872
ENSG00000004897.11	18064	14955	9935	20856	16426	28054	16581	2307	8041	2684	3994	3017
ENSG00000004939.13	0	0	0	0	38	38	0	0	0	0	0	0
ENSG00000004948.13	114	152	152	76	0	65	76	0	0	0	0	0
ENSG00000004961.14	455	570	528	417	665	1889	604	152	304	114	418	114
ENSG00000004975.11	8454	10812	4659	13023	8279	9301	6922	2235	3189	2098	2280	2354
ENSG00000005001.9	5740	415	4139	2129	2602	9067	3990	11048	47541	2307	23223	8291
ENSG00000005007.12	2792	3300	2647	4779	3848	6250	6673	1020	1481	711	1329	619
ENSG00000005020.12	10713	8972	9676	7777	13994	13270	10850	2848	7457	4765	6986	5255
ENSG00000005022.5	30012	28108	10357	19246	96646	41326	42370	6347	18924	7542	13406	9053
ENSG00000005059.15	7355	3427	1776	2651	2710	5470	4579	643	2426	455	1193	874
ENSG00000005073.5	114	152	224	228	150	0	38	22	0	0	0	0
ENSG00000005075.15	10431	4743	3517	5795	3605	5897	4099	1413	2820	1629	2689	2081
ENSG00000005100.12	2237	2905	1282	6798	5533	4523	3721	232	397	152	324	38
ENSG00000005102.12	38	532	38	452	7290	4125	304	114	37	38	114	38
ENSG00000005108.15	190	1520	655	1000	1419	949	706	0	38	0	76	0
ENSG00000005156.11	14575	11102	5512	15170	14161	15418	15990	2764	6926	3731	4873	4218
ENSG00000005175.9	10887	6289	4889	12021	8074	14269	17655	1663	5029	1552	2472	1554
ENSG00000005187.11	1006	792	858	680	1175	2482	719	359	667	333	338	190
ENSG00000005189.19	528	266	239	494	1062	1167	2229	340	445	376	304	297
ENSG00000005194.14	6431	4830	1213	6912	5517	10290	5875	1853	3895	2133	3018	2841
ENSG00000005206.16	2388	3350	1477	5549	2860	2998	2673	973	1398	975	1246	1134
ENSG00000005238.19	2140	3682	2648	2531	4404	2498	4069	2369	7462	1735	4109	3247
ENSG00000005243.9	4459	5576	4531	3353	2294	3720	4394	149	526	152	264	204
ENSG00000005249.12	532	380	570	377	530	454	569	38	114	152	190	38
ENSG00000005302.17	1817	2540	1280	1971	1741	4255	1932	608	2052	795	1678	1175
ENSG00000005339.14	6946	8455	9762	9681	13128	12434	13164	1743	2202	1417	2789	1555
ENSG00000005379.15	280	834	233	190	498	152	114	38	189	16	76	133
ENSG00000005381.7	0	0	38	38	0	76	0	0	0	0	0	0
ENSG00000005421.8	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000005436.13	6590	4510	2985	7003	8148	5271	3915	1011	2122	1263	1524	1262
ENSG00000005448.16	3602	2438	1760	6075	1791	3065	6913	0	228	76	190	0
ENSG00000005469.11	7834	2642	4013	2610	2569	4233	2736	1413	7826	4374	4239	4938
ENSG00000005471.15	75	161	114	38	0	164	100	0	76	0	0	0
ENSG00000005483.20	17350	10966	6849	11101	9205	13217	13350	1794	4206	1265	3657	2731
ENSG00000005486.16	12395	22522	4648	8461	23322	15487	7932	1586	3701	1905	4034	2946
ENSG00000005513.9	236	176	159	0	126	81	0	180	97	40	31	0
ENSG00000005700.14	6348	6899	6563	6535	8155	8975	11131	1851	3836	2070	4011	2499
ENSG00000005801.16	3134	3973	1975	3062	8074	7461	3236	342	1952	641	1370	721
ENSG00000005810.17	7347	18597	5796	21829	27943	17490	23679	2754	9206	4859	12222	3530
ENSG00000005812.10	14755	12512	8782	18781	20445	20692	11491	4274	15967	8119	13503	9423
ENSG00000005844.17	1059	1100	114	372	678	380	2985	228	674	418	185	217
ENSG00000005882.11	2461	2694	2044	2185	1367	4943	2841	755	2237	1324	1746	1245
ENSG00000005884.17	17956	17523	9914	15500	5170	17452	17330	1996	2537	1199	2273	711
ENSG00000005889.15	14911	21896	6884	11165	6650	25523	6992	1744	4213	2460	5294	2498
