ID	cell_line	cell_type	drug_treatment	origin
SRR1744443	A375R	melanoma cell line	control	xenograft tumours
SRR1744444	A375R	melanoma cell line	control	xenograft tumours
SRR1744413	A375	melanoma cell line	control	cells in vitro
SRR1744415	A375	melanoma cell line	control	cells in vitro
SRR1744414	A375	melanoma cell line	control	cells in vitro
SRR1744416	A375	melanoma cell line	treat1	cells in vitro
SRR1744417	A375	melanoma cell line	treat1	cells in vitro
SRR1744418	A375	melanoma cell line	treat1	cells in vitro
SRR1744419	A375	melanoma cell line	treat2	cells in vitro
SRR1744420	A375	melanoma cell line	treat2	cells in vitro
SRR1744421	A375	melanoma cell line	treat2	cells in vitro
SRR1744422	A375	melanoma cell line	control	xenograft tumours
SRR1744423	A375	melanoma cell line	control	xenograft tumours
SRR1744425	A375	melanoma cell line	control	xenograft tumours
SRR1744426	A375	melanoma cell line	treat3	xenograft tumours
SRR1744427	A375	melanoma cell line	treat3	xenograft tumours
SRR1744428	A375	melanoma cell line	treat3	xenograft tumours
SRR1744429	A375	melanoma cell line	treat3	xenograft tumours
SRR1744430	Colo800	melanoma cell line	control	cells in vitro
SRR1744424	A375	melanoma cell line	control	xenograft tumours
SRR1744431	Colo800	melanoma cell line	control	cells in vitro
SRR1744432	Colo800	melanoma cell line	treat4	cells in vitro
SRR1744433	Colo800	melanoma cell line	treat4	cells in vitro
SRR1744434	UACC62	melanoma cell line	control	cells in vitro
SRR1744435	UACC62	melanoma cell line	control	cells in vitro
SRR1744436	UACC62	melanoma cell line	treat4	cells in vitro
SRR1744438	H3122	lung adenocarcinoma cell line	control	cells in vitro
SRR1744437	UACC62	melanoma cell line	treat4	cells in vitro
SRR1744439	H3122	lung adenocarcinoma cell line	control	cells in vitro
SRR1744440	H3122	lung adenocarcinoma cell line	treat5	cells in vitro
SRR1744441	H3122	lung adenocarcinoma cell line	treat5	cells in vitro
SRR1744442	A375R	melanoma cell line	control	xenograft tumours
SRR1744445	A375R	melanoma cell line	control	xenograft tumours
SRR1744448	A375R	melanoma cell line	treat3	xenograft tumours
SRR1744446	A375R	melanoma cell line	control	xenograft tumours
SRR1744447	A375R	melanoma cell line	control	xenograft tumours
SRR1744449	A375R	melanoma cell line	treat3	xenograft tumours
SRR1744451	A375R	melanoma cell line	treat3	xenograft tumours
SRR1744450	A375R	melanoma cell line	treat3	xenograft tumours
SRR1744452	A375R	melanoma cell line	treat3	xenograft tumours
SRR1744453	A375R	melanoma cell line	treat3	xenograft tumours
