"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0022613","GO:0022613","ribonucleoprotein complex biogenesis","216/5279","400/16438",4.96358091512979e-20,3.07692380928896e-16,2.56434264541653e-16,"AATF/ABCE1/ABT1/ADAR/ATR/BMS1/BRIX1/BYSL/C1QBP/CD2BP2/CELF1/CELF2/CELF3/CELF4/CHD7/CLNS1A/CLP1/COIL/CPSF7/CUL4A/CUL4B/DDX1/DDX18/DDX21/DDX23/DDX27/DDX28/DDX47/DDX49/DDX51/DDX54/DDX56/DENR/DHX30/DHX37/DHX9/DICER1/DKC1/EBNA1BP2/EIF2A/EIF2S2/EIF3A/EIF3B/EIF3G/EIF3H/EIF3I/EIF3J/EIF4A3/EIF4B/EIF4H/EIF5/EIF6/EMG1/ERAL1/ERCC2/ERI2/ERI3/EXOSC10/EXOSC3/EXOSC5/EXOSC6/EXOSC9/FBL/FBLL1/FCF1/FRG1/FTSJ3/GCFC2/GEMIN4/GEMIN5/GEMIN7/GLUL/GNL3L/GTPBP10/HEATR1/HELB/HSP90AA1/HSP90AB1/IMP3/IMP4/ISG20L2/KRI1/LSG1/LSM2/LSM4/LSM6/LTV1/LUC7L2/LUC7L3/MAK16/MDN1/MPHOSPH10/MRPL1/MRPL20/MRPL36/MRPS11/MRPS2/MRPS7/MRTO4/MYBBP1A/NAT10/NCBP1/NGDN/NHP2/NLE1/NMD3/NOC2L/NOC4L/NOL10/NOL11/NOL6/NOL8/NOL9/NOLC1/NOP10/NOP14/NOP16/NOP2/NSUN5/NUDT16/NUFIP1/NUP88/PA2G4/PDCD11/PES1/PIH1D1/POLR2D/POP4/PPAN/PRMT5/PRMT7/PRPF19/PRPF3/PRPF39/PRPF6/PRPF8/PUF60/PWP1/PWP2/RAN/REXO4/RIOK3/RPL10A/RPL23A/RPL24/RPL26/RPL26L1/RPL3/RPL7L1/RPP30/RPP40/RPS15/RPS27/RPS27L/RPSA/RPUSD1/RPUSD4/RRP1/RRP15/RRP1B/RRP36/RRP7A/RRP9/RRS1/RSL1D1/RSL24D1/RUVBL1/RUVBL2/SART3/SBDS/SDAD1/SF1/SF3A1/SF3A3/SF3B1/SFSWAP/SHQ1/SIRT7/SNRNP200/SNRPB/SNRPC/SNRPD1/SNRPD2/SNRPD3/SRFBP1/SRPK1/SRPK2/SRSF6/SRSF9/STRAP/SURF6/SUV39H1/TARBP2/TFB1M/TRMT112/TSR1/TSR2/URB1/URB2/USP39/USP4/UTP14A/UTP15/UTP18/UTP20/UTP3/WDR18/WDR43/WDR46/WDR55/WDR74/XPO1/XRCC5/XRN2/YTHDF2/ZNF622",216
"GO:0006397","GO:0006397","mRNA processing","225/5279","442/16438",8.62012897550287e-17,1.83984417742985e-13,1.53334667269351e-13,"ACIN1/ADAR/ADARB1/AHCYL1/ALKBH5/ALYREF/APP/AURKAIP1/C1QBP/C9orf78/CASC3/CCNB1/CD2BP2/CDK12/CDK9/CELF1/CELF2/CELF3/CELF4/CIR1/CIRBP/CLNS1A/CLP1/COIL/CPEB1/CPEB3/CPSF2/CPSF7/CSTF2/CSTF3/CTNNBL1/CTR9/CWC15/CWF19L1/DAZAP1/DBR1/DDX1/DDX23/DDX39A/DDX47/DDX5/DHX15/DHX16/DHX38/DHX9/EFTUD2/EIF4A3/ERN1/ESRP1/FAM172A/FAM50A/FASTKD5/FMR1/FRG1/FXR2/GCFC2/GEMIN4/GEMIN5/GEMIN7/GPKOW/GRSF1/HNRNPA0/HNRNPA3/HNRNPF/HNRNPK/HNRNPL/HNRNPM/HNRNPR/HNRNPU/HSF1/HSPA8/HTATSF1/IK/KHDRBS1/KHDRBS3/KHSRP/KIN/LARP7/LSM2/LSM3/LSM4/LSM5/LSM6/LSM7/LUC7L2/LUC7L3/MBNL1/MBNL2/MBNL3/METTL3/NCBP1/NCL/NONO/NOVA1/NUP98/PABPC1/PABPN1/PAF1/PAPOLA/PAPOLB/PAPOLG/PDCD11/PDE12/PHRF1/PLRG1/PNN/POLR2D/PPARGC1A/PPIL1/PPP1R8/PPP4R2/PQBP1/PRDX6/PRKACA/PRMT5/PRMT7/PRPF19/PRPF3/PRPF38A/PRPF39/PRPF4/PRPF40B/PRPF6/PRPF8/PTBP1/PTBP2/PUF60/QKI/RALY/RAVER1/RAVER2/RBFOX2/RBM10/RBM11/RBM14/RBM15/RBM15B/RBM17/RBM19/RBM22/RBM23/RBM24/RBM26/RBM28/RBM3/RBM38/RBM39/RBM4/RBM42/RBM8A/RBMX/RNF113A/RNF20/RNF40/RNPC3/RNPS1/RPRD1B/RRP1B/SAFB/SAFB2/SART3/SCAF1/SF1/SF3A1/SF3A3/SF3B1/SF3B2/SF3B3/SF3B4/SFPQ/SFSWAP/SLBP/SLTM/SMU1/SNRNP200/SNRNP25/SNRNP27/SNRNP40/SNRNP48/SNRNP70/SNRPB/SNRPC/SNRPD1/SNRPD2/SNRPD3/SREK1IP1/SRPK1/SRPK2/SRRT/SRSF3/SRSF6/SRSF7/SRSF9/SSU72/STRAP/SUPT5H/SUPT6H/SYMPK/SYNCRIP/TBRG4/TFIP11/THOC1/THOC2/THOC7/TIA1/TRUB2/TSEN34/TSEN54/TTF2/TXNL4B/U2AF1/U2AF2/UBL5/USP39/USP4/WDR33/XRN2/YBX1/ZBTB7A/ZC3H13/ZC3H14/ZFP36L1/ZMAT2/ZNF326/ZRANB2",225
"GO:0008380","GO:0008380","RNA splicing","201/5279","384/16438",8.90390794045743e-17,1.83984417742985e-13,1.53334667269351e-13,"ACIN1/AHNAK/AHNAK2/ALYREF/C1QBP/C9orf78/CASC3/CD2BP2/CDK12/CELF1/CELF2/CELF3/CELF4/CIR1/CIRBP/CLK1/CLNS1A/CLP1/COIL/CTNNBL1/CWC15/CWF19L1/DAZAP1/DBR1/DDX1/DDX23/DDX39A/DDX47/DDX5/DHX15/DHX16/DHX38/DHX9/EFTUD2/EIF4A3/ERN1/ESRP1/FAM172A/FAM50A/FASTK/FMR1/FRG1/FUS/FXR2/GCFC2/GEMIN4/GEMIN5/GEMIN7/GPKOW/GRSF1/HNRNPA3/HNRNPF/HNRNPH2/HNRNPK/HNRNPL/HNRNPM/HNRNPR/HNRNPU/HSPA1A/HSPA8/HTATSF1/IK/IVNS1ABP/KHDRBS1/KHDRBS3/KHSRP/LARP7/LSM2/LSM3/LSM4/LSM5/LSM6/LSM7/LUC7L2/LUC7L3/MBNL1/MBNL2/MBNL3/METTL3/MPHOSPH10/NCBP1/NCL/NONO/NOVA1/NUP98/PABPC1/PDCD7/PIK3R1/PLRG1/PNN/POLR2A/PPARGC1A/PPIL1/PPP1R8/PPP1R9B/PPP2CA/PPP2R1A/PPP4R2/PQBP1/PRDX6/PRMT1/PRMT5/PRMT7/PRPF19/PRPF3/PRPF38A/PRPF39/PRPF4/PRPF40B/PRPF6/PRPF8/PTBP1/PTBP2/PUF60/QKI/RALY/RAVER1/RAVER2/RBFOX2/RBM10/RBM11/RBM12B/RBM14/RBM15/RBM15B/RBM17/RBM19/RBM22/RBM23/RBM24/RBM28/RBM3/RBM38/RBM39/RBM4/RBM42/RBM8A/RBMX/RNF113A/RNPC3/RNPS1/RPS26/RRAGC/RRP1B/SART3/SCAF1/SF1/SF3A1/SF3A3/SF3B1/SF3B2/SF3B3/SF3B4/SFPQ/SFSWAP/SLC38A2/SMU1/SNRNP200/SNRNP25/SNRNP27/SNRNP40/SNRNP48/SNRNP70/SNRPB/SNRPC/SNRPD1/SNRPD2/SNRPD3/SREK1IP1/SRPK1/SRPK2/SRSF3/SRSF6/SRSF7/SRSF9/STRAP/SUPT6H/SYNCRIP/TFIP11/THOC1/THOC2/THOC7/TIA1/TMBIM6/TRPT1/TSEN34/TSEN54/TTF2/TXNL4B/U2AF1/U2AF2/UBL5/USP39/USP4/YBX1/ZBTB7A/ZC3H13/ZMAT2/ZNF326/ZNF638/ZRANB2",201
"GO:0034470","GO:0034470","ncRNA processing","178/5279","341/16438",7.36278324016947e-15,1.03755632463173e-11,8.64711021521728e-12,"AARS2/ABT1/ADAR/ADAT2/ALKBH1/ALKBH8/BMS1/BRIX1/BYSL/CHD7/CLP1/DDX1/DDX18/DDX21/DDX27/DDX47/DDX49/DDX51/DDX54/DDX56/DGCR8/DHX37/DICER1/DKC1/DPH3/DTWD2/DUS1L/DUS3L/EBNA1BP2/EIF4A3/EIF6/ELP2/ELP4/EMG1/ERCC2/ERI2/ERI3/EXOSC10/EXOSC3/EXOSC5/EXOSC6/EXOSC9/FBL/FBLL1/FCF1/FRG1/FTSJ1/FTSJ3/GEMIN4/GRSF1/GTPBP3/HEATR1/HELB/HSD17B10/IMP3/IMP4/INTS10/INTS2/INTS3/INTS4/INTS5/INTS7/KRI1/LAGE3/LARP7/LCMT2/LSM6/MAK16/MDN1/METTL1/METTL2B/METTL3/METTL6/MOCS3/MPHOSPH10/MRPL1/MRPS11/MRTO4/NAT10/NGDN/NHP2/NOC4L/NOL10/NOL11/NOL6/NOL8/NOL9/NOLC1/NOP10/NOP14/NOP2/NSUN2/NSUN5/NSUN6/NUDT16/OSGEPL1/PA2G4/PARN/PDCD11/PES1/PIH1D1/POLR3K/POP1/POP4/PPAN/PRKRA/PUS1/PUS7/PWP1/PWP2/REXO4/RIOK3/RNF113A/RPL10A/RPL26/RPL7L1/RPP14/RPP30/RPP40/RPS15/RPS27/RPUSD1/RPUSD4/RRP1/RRP15/RRP1B/RRP36/RRP7A/RRP9/RRS1/RSL1D1/SBDS/SHQ1/SIRT7/SMAD1/SMAD2/SRFBP1/SRRT/STAT3/SUV39H1/TARBP1/TARBP2/TFB1M/THG1L/THUMPD2/TOE1/TRIT1/TRMT1/TRMT11/TRMT112/TRMT2B/TRMT61A/TRMU/TRPT1/TRUB1/TSEN34/TSEN54/TSR1/TSR2/TYW1B/TYW3/TYW5/URB1/URM1/UTP14A/UTP15/UTP18/UTP20/UTP3/WDR18/WDR4/WDR43/WDR46/WDR55/WDR6/WDR74/XRN2/YTHDF2",178
"GO:0006914","GO:0006914","autophagy","239/5279","492/16438",1.00424874137609e-14,1.03755632463173e-11,8.64711021521728e-12,"ABL1/ABL2/ACBD5/ACER2/ADRB2/AKT1/ARFIP2/ARL8B/ARSB/ATF6/ATG10/ATG12/ATG13/ATG14/ATG16L1/ATG16L2/ATG4C/ATG4D/ATG7/ATP2A2/ATP6V0A1/ATP6V0B/ATP6V0C/ATP6V0D1/ATP6V0E2/ATP6V1A/ATP6V1B1/ATP6V1B2/ATP6V1C1/ATP6V1G1/ATP6V1G2/ATP6V1H/BAD/BAG3/BCAS3/BCL2L11/BID/BNIP3L/C19orf12/C9orf72/CALM1/CAPN1/CAPNS1/CASP3/CDC37/CDK5/CDK5R1/CHMP4A/CHMP4B/CHMP6/CLEC16A/CLN3/CLU/CTSA/CTTN/DAPK1/DCAF12/DDIT3/DEPDC5/DRAM1/DRAM2/EEF1A1/EEF1A2/EHMT2/EI24/EIF4G1/EIF4G2/ERN1/EXOC4/EXOC7/EXOC8/FBXL2/FBXO7/FBXW7/FEZ1/FIS1/FOXK1/FOXK2/FUNDC2/FYCO1/FZD5/GABARAPL1/GATA4/GBA/GPR137/GSK3A/HGS/HIF1A/HMGB1/HMOX1/HSP90AA1/HSPA8/HSPB1/HSPB8/HTT/HUWE1/IFI16/IFT88/IRGM/ITGB4/ITPR1/KAT5/KDM4A/KEAP1/KLHL3/LAMP2/LAMP3/LARP1/LEPR/LIX1L/MAPK3/MAPT/MARK2/MFN2/MID2/MTDH/MTMR4/MTOR/NAMPT/NBR1/NOD2/NPRL3/NRBP2/NUPR1/OPTN/PARK7/PGAM5/PHF23/PIK3CB/PIP4K2B/PIP4K2C/PLEKHF1/PLK2/PLK3/POLDIP2/PPARGC1A/PRKAA2/PRKACA/RAB1B/RAB23/RAB33B/RAB39B/RAB3GAP1/RAB5A/RAB7A/RAB8A/RALB/RGS19/RIPK2/RNF152/RNF185/RNF41/ROCK1/RPTOR/RRAGA/RRAGC/RRAGD/SCFD1/SEC16A/SESN2/SESN3/SIRT2/SMCR8/SNAP29/SNAPIN/SNF8/SNRNP70/SNX32/SREBF1/SRPX/STAT3/STBD1/SUPT5H/SVIP/SYT11/TAB2/TBC1D14/TBC1D25/TBC1D5/TBK1/TECPR2/TEX264/TGFBRAP1/TMBIM6/TMEM208/TMEM39A/TMEM41B/TMEM59/TOLLIP/TP53INP1/TP53INP2/TPCN2/TRIB3/TRIM13/TRIM14/TRIM5/TRIM6/TRIM65/TRIM8/TSC2/TSPO/UBQLN4/UBXN2B/UCHL1/UFC1/UFL1/ULK3/USP10/USP13/USP33/VAMP8/VCP/VDAC1/VMP1/VPS13D/VPS18/VPS25/VPS26A/VPS26B/VPS33A/VPS35/VPS37B/VPS37C/VPS39/VPS41/VPS4A/VTI1A/VTI1B/WAC/WDR41/WDR6/WDR81/WIPI1/WIPI2/XBP1/YOD1/ZC3H12A/ZFYVE1/ZMPSTE24",239
"GO:0061919","GO:0061919","process utilizing autophagic mechanism","239/5279","492/16438",1.00424874137609e-14,1.03755632463173e-11,8.64711021521728e-12,"ABL1/ABL2/ACBD5/ACER2/ADRB2/AKT1/ARFIP2/ARL8B/ARSB/ATF6/ATG10/ATG12/ATG13/ATG14/ATG16L1/ATG16L2/ATG4C/ATG4D/ATG7/ATP2A2/ATP6V0A1/ATP6V0B/ATP6V0C/ATP6V0D1/ATP6V0E2/ATP6V1A/ATP6V1B1/ATP6V1B2/ATP6V1C1/ATP6V1G1/ATP6V1G2/ATP6V1H/BAD/BAG3/BCAS3/BCL2L11/BID/BNIP3L/C19orf12/C9orf72/CALM1/CAPN1/CAPNS1/CASP3/CDC37/CDK5/CDK5R1/CHMP4A/CHMP4B/CHMP6/CLEC16A/CLN3/CLU/CTSA/CTTN/DAPK1/DCAF12/DDIT3/DEPDC5/DRAM1/DRAM2/EEF1A1/EEF1A2/EHMT2/EI24/EIF4G1/EIF4G2/ERN1/EXOC4/EXOC7/EXOC8/FBXL2/FBXO7/FBXW7/FEZ1/FIS1/FOXK1/FOXK2/FUNDC2/FYCO1/FZD5/GABARAPL1/GATA4/GBA/GPR137/GSK3A/HGS/HIF1A/HMGB1/HMOX1/HSP90AA1/HSPA8/HSPB1/HSPB8/HTT/HUWE1/IFI16/IFT88/IRGM/ITGB4/ITPR1/KAT5/KDM4A/KEAP1/KLHL3/LAMP2/LAMP3/LARP1/LEPR/LIX1L/MAPK3/MAPT/MARK2/MFN2/MID2/MTDH/MTMR4/MTOR/NAMPT/NBR1/NOD2/NPRL3/NRBP2/NUPR1/OPTN/PARK7/PGAM5/PHF23/PIK3CB/PIP4K2B/PIP4K2C/PLEKHF1/PLK2/PLK3/POLDIP2/PPARGC1A/PRKAA2/PRKACA/RAB1B/RAB23/RAB33B/RAB39B/RAB3GAP1/RAB5A/RAB7A/RAB8A/RALB/RGS19/RIPK2/RNF152/RNF185/RNF41/ROCK1/RPTOR/RRAGA/RRAGC/RRAGD/SCFD1/SEC16A/SESN2/SESN3/SIRT2/SMCR8/SNAP29/SNAPIN/SNF8/SNRNP70/SNX32/SREBF1/SRPX/STAT3/STBD1/SUPT5H/SVIP/SYT11/TAB2/TBC1D14/TBC1D25/TBC1D5/TBK1/TECPR2/TEX264/TGFBRAP1/TMBIM6/TMEM208/TMEM39A/TMEM41B/TMEM59/TOLLIP/TP53INP1/TP53INP2/TPCN2/TRIB3/TRIM13/TRIM14/TRIM5/TRIM6/TRIM65/TRIM8/TSC2/TSPO/UBQLN4/UBXN2B/UCHL1/UFC1/UFL1/ULK3/USP10/USP13/USP33/VAMP8/VCP/VDAC1/VMP1/VPS13D/VPS18/VPS25/VPS26A/VPS26B/VPS33A/VPS35/VPS37B/VPS37C/VPS39/VPS41/VPS4A/VTI1A/VTI1B/WAC/WDR41/WDR6/WDR81/WIPI1/WIPI2/XBP1/YOD1/ZC3H12A/ZFYVE1/ZMPSTE24",239
"GO:0042254","GO:0042254","ribosome biogenesis","148/5279","273/16438",2.52010934219005e-14,2.23173683031945e-11,1.85995438367952e-11,"AATF/ABCE1/ABT1/BMS1/BRIX1/BYSL/C1QBP/CHD7/CUL4A/CUL4B/DDX18/DDX21/DDX27/DDX28/DDX47/DDX49/DDX51/DDX54/DDX56/DHX30/DHX37/DKC1/EBNA1BP2/EIF2A/EIF4A3/EIF6/EMG1/ERAL1/ERCC2/ERI2/ERI3/EXOSC10/EXOSC3/EXOSC5/EXOSC6/EXOSC9/FBL/FBLL1/FCF1/FRG1/FTSJ3/GEMIN4/GLUL/GNL3L/GTPBP10/HEATR1/HELB/IMP3/IMP4/ISG20L2/KRI1/LSG1/LSM6/LTV1/MAK16/MDN1/MPHOSPH10/MRPL1/MRPL20/MRPL36/MRPS11/MRPS2/MRPS7/MRTO4/MYBBP1A/NAT10/NGDN/NHP2/NLE1/NMD3/NOC2L/NOC4L/NOL10/NOL11/NOL6/NOL8/NOL9/NOLC1/NOP10/NOP14/NOP16/NOP2/NSUN5/NUDT16/NUP88/PA2G4/PDCD11/PES1/PIH1D1/POP4/PPAN/PWP1/PWP2/RAN/REXO4/RIOK3/RPL10A/RPL23A/RPL24/RPL26/RPL26L1/RPL3/RPL7L1/RPP30/RPP40/RPS15/RPS27/RPS27L/RPSA/RPUSD1/RPUSD4/RRP1/RRP15/RRP1B/RRP36/RRP7A/RRP9/RRS1/RSL1D1/RSL24D1/SBDS/SDAD1/SHQ1/SIRT7/SRFBP1/SURF6/SUV39H1/TFB1M/TRMT112/TSR1/TSR2/URB1/URB2/UTP14A/UTP15/UTP18/UTP20/UTP3/WDR18/WDR43/WDR46/WDR55/WDR74/XPO1/XRCC5/XRN2/YTHDF2/ZNF622",148
"GO:0072594","GO:0072594","establishment of protein localization to organelle","195/5279","388/16438",5.06633063819951e-14,3.92577295327484e-11,3.27178299635305e-11,"ABLIM3/ACD/AGK/AIFM1/AKT1/AP3B1/AP3D1/AP3M1/ARIH2/ATG13/BAG3/BAP1/BAX/BCAP31/BCL3/BCS1L/BID/BMP4/BNIP3L/CACNG4/CALM1/CALM3/CCT2/CCT3/CCT5/CCT6A/CCT7/CD68/CDH1/CDKN1A/CHMP4A/CHMP4B/CHP2/CLU/CRY2/CSE1L/DDIT3/DKC1/DMAP1/DNLZ/EDEM1/ELAVL1/FBXO7/FBXW7/FERMT1/FIS1/FZD5/GCC2/GDAP1/GRPEL1/GSK3A/HERPUD1/HGS/HK1/HSP90AA1/HSP90AB1/HSPA1L/HSPA4/HSPA5/HSPA8/HUWE1/HYAL2/ING1/IPO11/IPO13/IPO4/IPO5/IPO7/IPO8/IPO9/KPNA1/KPNA2/KPNA6/KPNB1/LAMP1/LAMP2/LAMP3/LEPROT/LMAN1/LRWD1/MAN1A1/MAPK1/MAPT/MAVS/MDFIC/MED1/MFF/MFN2/NAGPA/NEURL1B/NMT1/NOLC1/NUP107/NUP133/NUP188/NUP214/NUP50/NUP54/NUP85/NUP88/NUP93/NUP98/NUTF2/NXT1/NXT2/PEX10/PEX13/PEX19/PEX2/PEX26/PEX5/PEX6/PEX7/PIH1D1/PIK3R1/PITRM1/PKIG/PMPCA/POM121/POM121C/POM121L2/POT1/PPP3R1/PRICKLE1/PTTG1IP/RAB10/RAB23/RAB3GAP1/RAB7A/RAB8B/RAN/RANBP6/RANGRF/RBM22/RHOU/RNF215/RNF31/RUVBL2/RYR2/SAE1/SAMM50/SCARB2/SCRIB/SEC13/SEC61A1/SEC61A2/SEC63/SGTA/SNF8/SNUPN/SNX16/SORL1/SORT1/SPCS1/SREBF1/SRP14/SRP68/SRPRB/STAT3/SUFU/SYK/TGFB1/TIMM10/TIMM13/TIMM23/TIMM50/TIMM8A/TIMM9/TNFAIP3/TNPO1/TNPO2/TNPO3/TOMM20/TOMM22/TOMM34/TOMM40/TOMM40L/TRAM1L1/TRIM28/TSC2/TSPAN10/TSPAN17/TSPO/TXNIP/UBE2J2/UBE2L3/UBL5/VPS13D/VPS25/VPS37B/VPS37C/VPS41/VPS4A/ZC3H12A/ZFAND2B",195
"GO:0034660","GO:0034660","ncRNA metabolic process","203/5279","410/16438",1.02391347251272e-13,7.05248846234042e-11,5.87762260010813e-11,"AARS2/ABT1/ADAR/ADAT2/ALKBH1/ALKBH8/BMS1/BRIX1/BYSL/CARS2/CHD7/CLP1/DDX1/DDX18/DDX21/DDX27/DDX47/DDX49/DDX51/DDX54/DDX56/DGCR8/DHX37/DICER1/DIS3L/DKC1/DPH3/DTWD2/DUS1L/DUS3L/EARS2/EBNA1BP2/EIF4A3/EIF6/ELP2/ELP4/EMG1/ERCC2/ERI2/ERI3/EXOSC10/EXOSC3/EXOSC5/EXOSC6/EXOSC9/FARSA/FARSB/FBL/FBLL1/FCF1/FRG1/FTSJ1/FTSJ3/GATC/GEMIN4/GRSF1/GTPBP3/HEATR1/HELB/HRAS/HSD17B10/IARS2/IMP3/IMP4/INTS10/INTS2/INTS3/INTS4/INTS5/INTS7/KCNQ1OT1/KHSRP/KRI1/LAGE3/LARP7/LARS2/LCMT2/LRRC47/LSM6/MAK16/MAPT/MDN1/MEPCE/METTL1/METTL2B/METTL3/METTL6/MOCS3/MPHOSPH10/MRPL1/MRPL44/MRPS11/MRTO4/NAT10/NGDN/NHP2/NOC4L/NOL10/NOL11/NOL6/NOL8/NOL9/NOLC1/NOP10/NOP14/NOP2/NSUN2/NSUN5/NSUN6/NUDT16/OSGEPL1/PA2G4/PARN/PDCD11/PES1/PIH1D1/POLR3K/POP1/POP4/PPAN/PRKRA/PRORSD1P/PUS1/PUS7/PWP1/PWP2/QRSL1/RARS2/RC3H1/RC3H2/RELA/REXO4/RIOK3/RNF113A/RPL10A/RPL26/RPL7L1/RPP14/RPP30/RPP40/RPS15/RPS27/RPUSD1/RPUSD4/RRP1/RRP15/RRP1B/RRP36/RRP7A/RRP9/RRS1/RSL1D1/SBDS/SHQ1/SIRT7/SMAD1/SMAD2/SRFBP1/SRRT/STAT3/SUV39H1/TARBP1/TARBP2/TFB1M/THG1L/THUMPD2/TOE1/TRIT1/TRMT1/TRMT11/TRMT112/TRMT2B/TRMT61A/TRMU/TRPT1/TRUB1/TSEN34/TSEN54/TSR1/TSR2/TYW1B/TYW3/TYW5/URB1/URM1/UTP14A/UTP15/UTP18/UTP20/UTP3/WARS2/WDR18/WDR4/WDR43/WDR46/WDR55/WDR6/WDR74/XPO5/XRN1/XRN2/YTHDF2/ZC3H12A",203
"GO:1903311","GO:1903311","regulation of mRNA metabolic process","145/5279","272/16438",2.73022069845732e-13,1.69246381097369e-10,1.41051823031879e-10,"AHCYL1/AKT1/ALKBH5/ANGEL2/APEX1/BTG2/C1QBP/CARHSP1/CCNB1/CDK9/CELF1/CELF2/CELF3/CELF4/CIRBP/CNOT7/CPEB1/CPEB3/CPSF7/CTR9/DAZAP1/DCP1A/DCP2/DDX5/DHX34/DHX9/E2F1/ELAVL1/EXOSC3/EXOSC5/EXOSC9/FAM172A/FASTK/FASTKD5/FMR1/FTO/FUS/FXR2/GDNF/GTPBP1/HNRNPA0/HNRNPD/HNRNPK/HNRNPL/HNRNPM/HNRNPR/HNRNPU/HSF1/HSPA8/IGF2BP1/KHDRBS1/KHDRBS3/KHSRP/LARP1/LARP4B/LARP7/MAPKAPK2/MBNL1/MBNL2/MBNL3/METTL3/MLH1/MOV10/MTOR/NCBP1/NCL/NOVA1/NUP98/PABPC1/PABPC4/PAF1/PAIP1/PAPOLA/PARN/PATL1/PDE12/POLR2D/POLR2G/PRDX6/PRKCA/PRPF19/PRR5L/PTBP1/PUF60/QKI/RAVER1/RAVER2/RBFOX2/RBM10/RBM11/RBM15/RBM15B/RBM23/RBM24/RBM3/RBM39/RBM4/RBM42/RBM8A/RBMX/RC3H1/RC3H2/RNF20/RNF40/RNPS1/ROCK1/SAFB/SAFB2/SAMD4A/SAMD4B/SECISBP2/SF1/SF3B4/SFSWAP/SLTM/SMU1/SNRNP70/SRPK1/SRPK2/SRSF3/SRSF6/SRSF7/SRSF9/SUPT5H/SUPT6H/SYNCRIP/TBRG4/TIA1/TIRAP/TNRC6B/TOB1/TRAF2/TRAF5/U2AF2/UPF1/VIM/YBX1/YTHDF2/YTHDF3/ZBTB7A/ZC3H12A/ZC3H14/ZC3HAV1/ZFP36/ZFP36L1",145
