GENEID	Length
FBGN0085804	252
FBGN0267431	6213
FBGN0039987	184
FBGN0058182	291
FBGN0267430	6420
FBGN0266747	497
FBGN0086917	1767
FBGN0010247	3112
FBGN0086378	1290
FBGN0263977	961
FBGN0069923	364
FBGN0039955	4390
FBGN0259821	5061
FBGN0027341	4155
FBGN0085812	614
FBGN0058198	1567
FBGN0037213	5461
FBGN0053294	2235
FBGN0000500	569
FBGN0037215	3247
FBGN0037217	1485
FBGN0037218	4542
FBGN0051516	1668
FBGN0261436	1590
FBGN0037220	1564
FBGN0015331	1995
FBGN0010225	3286
FBGN0037222	1414
FBGN0085334	300
FBGN0037223	1074
FBGN0037224	1235
FBGN0037225	2165
FBGN0250821	1095
FBGN0037227	1067
FBGN0041621	1158
FBGN0037228	1492
FBGN0037229	1502
FBGN0267157	385
FBGN0041605	11414
FBGN0037230	2182
FBGN0262214	88
FBGN0027930	1495
FBGN0037231	1114
FBGN0037232	2530
FBGN0261086	3871
FBGN0037234	3214
FBGN0027866	4260
FBGN0037236	2412
FBGN0040687	409
FBGN0037235	1392
FBGN0261434	1567
FBGN0037238	4026
FBGN0266227	2517
FBGN0037239	1788
FBGN0037240	4742
FBGN0003882	2006
FBGN0037241	1694
FBGN0086608	1233
FBGN0267661	1924
FBGN0037242	1718
FBGN0086605	1995
FBGN0037244	1178
FBGN0266697	440
FBGN0263594	2691
FBGN0052944	3175
FBGN0051528	1228
FBGN0037248	4642
FBGN0051525	1171
FBGN0037249	3892
FBGN0037250	1687
FBGN0037251	1108
FBGN0264983	875
FBGN0037252	3630
FBGN0051522	3468
FBGN0263620	1359
FBGN0051523	4032
FBGN0037254	3404
FBGN0037255	2418
FBGN0085386	7704
FBGN0085454	1754
FBGN0051526	632
FBGN0037260	1785
FBGN0052945	706
FBGN0267118	887
FBGN0265376	1360
FBGN0087012	5410
FBGN0267233	681
FBGN0037261	2504
FBGN0037262	1098
FBGN0037263	1139
FBGN0040466	903
FBGN0022981	2536
FBGN0265038	1743
FBGN0087013	4364
FBGN0037265	2242
FBGN0263346	10493
FBGN0265039	413
FBGN0265040	634
FBGN0053927	549
FBGN0037270	1301
FBGN0266228	811
FBGN0027570	3136
FBGN0026620	6246
FBGN0010750	2040
FBGN0264907	4907
FBGN0264897	538
FBGN0037275	2137
FBGN0037276	3093
FBGN0260794	11869
FBGN0026417	1169
FBGN0037279	2744
FBGN0037280	1228
FBGN0037282	3183
FBGN0037283	603
FBGN0037284	449
FBGN0003002	2939
FBGN0020280	2407
FBGN0267140	871
FBGN0004913	3274
FBGN0265082	18664
FBGN0266698	1137
FBGN0004183	164
FBGN0004436	2166
FBGN0037288	1083
FBGN0250839	1452
FBGN0037290	1116
FBGN0037291	2000
FBGN0263455	1386
FBGN0263343	1525
FBGN0037292	902
FBGN0267145	753
FBGN0263626	687
FBGN0267148	558
FBGN0010313	9294
FBGN0262605	451
FBGN0037293	1853
FBGN0040684	1893
FBGN0037295	2922
FBGN0037294	1290
FBGN0259212	10744
FBGN0263018	160
FBGN0037296	1319
FBGN0037297	1699
FBGN0037298	1734
FBGN0040682	1404
FBGN0037299	1041
FBGN0040208	2662
FBGN0037301	3233
FBGN0087005	960
FBGN0260462	2985
FBGN0053293	661
FBGN0264789	569
FBGN0037304	1992
FBGN0037305	867
FBGN0264785	4296
FBGN0037307	991
FBGN0267443	755
FBGN0266393	427
FBGN0013576	13830
FBGN0051538	2158
FBGN0037310	785
FBGN0037312	904
FBGN0037313	1241
FBGN0250746	1215
FBGN0037315	2821
FBGN0264912	249
FBGN0085306	1803
FBGN0051542	1810
FBGN0003275	541
FBGN0086695	1927
FBGN0037317	1260
FBGN0041707	1148
FBGN0001311	5701
FBGN0037320	948
FBGN0011965	73
FBGN0264712	4339
FBGN0037322	1362
FBGN0037323	1645
FBGN0037324	1941
FBGN0037326	4885
FBGN0037325	1889
FBGN0037327	4873
FBGN0037328	621
FBGN0037329	1675
FBGN0037330	1122
FBGN0011715	1335
FBGN0025825	1660
FBGN0266539	1660
FBGN0037332	3991
FBGN0015402	5517
FBGN0051550	3264
FBGN0051547	3963
FBGN0010399	4170
FBGN0010051	10331
FBGN0264427	822
FBGN0037336	5935
FBGN0014342	2590
FBGN0086768	998
FBGN0037338	2589
FBGN0037339	3712
FBGN0263484	161
FBGN0037340	774
FBGN0037341	1669
FBGN0037342	1114
FBGN0041191	1225
FBGN0023023	2814
FBGN0037344	8284
FBGN0037345	831
FBGN0014366	1859
FBGN0015324	2926
FBGN0250753	2866
FBGN0082961	140
FBGN0082962	150
FBGN0082978	133
FBGN0082979	135
FBGN0082954	144
FBGN0086662	143
FBGN0082988	144
FBGN0082989	140
FBGN0037347	1580
FBGN0261004	3187
FBGN0017550	2902
FBGN0263619	1379
FBGN0019637	2351
FBGN0044823	1748
FBGN0037350	1325
FBGN0037351	903
FBGN0260002	77
FBGN0086051	75
FBGN0051551	4182
FBGN0051549	1130
FBGN0037354	1014
FBGN0051546	999
FBGN0051548	952
FBGN0037356	1424
FBGN0027951	5326
FBGN0262125	2822
FBGN0037358	1321
FBGN0037359	1080
FBGN0037360	2415
FBGN0264902	442
FBGN0046222	2798
FBGN0010772	3325
FBGN0037363	6303
FBGN0037364	2267
FBGN0261261	7272
FBGN0037365	2396
FBGN0004878	3151
FBGN0266229	1275
FBGN0037368	1058
FBGN0037369	1597
FBGN0037370	1190
FBGN0037371	3986
FBGN0027497	3501
FBGN0037372	1335
FBGN0266672	3363
FBGN0027608	3429
FBGN0037374	1649
FBGN0037375	2739
FBGN0037376	1648
FBGN0028690	1897
FBGN0037377	1505
FBGN0037378	893
FBGN0037379	4660
FBGN0263353	6816
FBGN0261561	2744
FBGN0037382	2311
FBGN0037383	2454
FBGN0037384	1635
FBGN0037385	1118
FBGN0037386	2499
FBGN0266702	649
FBGN0037387	2356
FBGN0037388	958
FBGN0037389	700
FBGN0029088	4884
FBGN0085316	951
FBGN0028436	1330
FBGN0037391	2760
FBGN0083949	8500
FBGN0267399	1085
FBGN0267400	1020
FBGN0040679	359
FBGN0266230	606
FBGN0266231	616
FBGN0011281	986
FBGN0010403	528
FBGN0266232	1115
FBGN0266233	766
FBGN0003261	5386
FBGN0037395	1089
FBGN0037396	1413
FBGN0037397	855
FBGN0266226	501
FBGN0037398	2371
FBGN0037399	1194
FBGN0026077	2355
FBGN0266234	1024
FBGN0046878	899
FBGN0046876	901
FBGN0046875	569
FBGN0037402	1677
FBGN0263497	677
FBGN0263498	727
FBGN0051559	2003
FBGN0037405	2302
FBGN0037406	1161
FBGN0266704	652
FBGN0051562	1175
FBGN0037408	3214
FBGN0037409	2629
FBGN0037410	1740
FBGN0037411	1381
FBGN0037412	1522
FBGN0037413	892
FBGN0027527	1846
FBGN0037414	2690
FBGN0037415	1135
FBGN0037416	1360
FBGN0037417	1731
FBGN0037418	1167
FBGN0037419	1755
FBGN0037420	679
FBGN0037421	1454
FBGN0037422	1518
FBGN0040279	1091
FBGN0037424	1232
FBGN0051561	1061
FBGN0267690	2091
FBGN0051560	968
FBGN0037427	4068
FBGN0037428	1270
FBGN0037429	1138
FBGN0037430	1264
FBGN0037431	706
FBGN0037432	745
FBGN0037433	778
FBGN0261789	778
FBGN0037435	1409
FBGN0037436	837
FBGN0267698	5973
FBGN0261641	6156
FBGN0037439	2151
FBGN0037440	2657
FBGN0260766	1587
FBGN0261006	140
FBGN0027514	2701
FBGN0260645	376
FBGN0010282	1938
FBGN0037442	3766
FBGN0037443	3827
FBGN0264495	11749
FBGN0264787	601
FBGN0037445	6313
FBGN0037446	1515
FBGN0037447	2580
FBGN0037448	6322
FBGN0011919	73
FBGN0037449	1167
FBGN0053202	4651
FBGN0046873	887
FBGN0037454	1363
FBGN0037455	1358
FBGN0037456	1398
FBGN0051482	792
FBGN0250846	2524
FBGN0037460	830
FBGN0037461	1013
FBGN0037462	921
FBGN0051286	1834
FBGN0026565	1456
FBGN0010355	6876
FBGN0026566	1230
FBGN0262801	855
FBGN0024912	693
FBGN0002522	3046
FBGN0000552	652
FBGN0004777	1097
FBGN0004778	580
FBGN0004779	754
FBGN0004780	735
FBGN0004781	1060
FBGN0063127	505
FBGN0004782	834
FBGN0004783	765
FBGN0051481	3728
FBGN0004054	1002
FBGN0085326	770
FBGN0004053	1267
FBGN0000166	2536
FBGN0267153	1406
FBGN0000071	1946
FBGN0266235	1225
FBGN0261638	2266
FBGN0262174	119
FBGN0263383	836
FBGN0000439	2739
FBGN0261503	2076
FBGN0262424	77
FBGN0267575	428
FBGN0051485	73
FBGN0026162	73
FBGN0261504	299
FBGN0026163	73
FBGN0026164	73
FBGN0000003	299
FBGN0011904	73
FBGN0003339	4577
FBGN0267561	885
FBGN0267562	625
FBGN0267563	311
FBGN0267564	490
FBGN0267565	943
FBGN0267560	354
FBGN0001077	1774
FBGN0266236	505
FBGN0267119	545
FBGN0266237	884
FBGN0260642	7508
FBGN0262897	1083
FBGN0267559	932
FBGN0266238	1237
FBGN0024289	1387
FBGN0026563	3425
FBGN0019828	1210
FBGN0037463	1098
FBGN0037464	2196
FBGN0037465	1796
FBGN0037466	3228
FBGN0037467	2574
FBGN0267568	712
FBGN0037468	1349
FBGN0010774	1328
FBGN0037469	914
FBGN0037470	2003
FBGN0267567	481
FBGN0003884	1752
FBGN0263768	1241
FBGN0040670	662
FBGN0261238	9675
FBGN0267566	253
FBGN0014863	3136
FBGN0037472	1532
FBGN0037473	1657
FBGN0262149	815
FBGN0051248	977
FBGN0051494	72
FBGN0051491	72
FBGN0051493	1019
FBGN0037475	1452
FBGN0261702	693
FBGN0037477	513
FBGN0037478	1016
FBGN0250732	3958
FBGN0011020	2802
FBGN0037481	943
FBGN0267569	892
FBGN0002306	6236
FBGN0037482	2422
FBGN0086372	6158
FBGN0037483	2081
FBGN0250845	1725
FBGN0037485	1925
FBGN0037486	1532
FBGN0037487	4222
FBGN0037488	1472
FBGN0037489	2572
FBGN0037490	982
FBGN0037491	1415
FBGN0037492	1894
FBGN0011282	817
FBGN0001112	2899
FBGN0265426	853
FBGN0028400	3103
FBGN0037493	813
FBGN0267337	6273
FBGN0265421	366
FBGN0045843	1495
FBGN0260713	363
FBGN0265422	521
FBGN0037498	1665
FBGN0265423	863
FBGN0265424	603
FBGN0265425	503
FBGN0051496	1030
FBGN0051501	1107
FBGN0262982	584
FBGN0037500	756
FBGN0004175	415
FBGN0004174	363
FBGN0004173	415
FBGN0004172	358
FBGN0015770	3262
FBGN0267120	876
FBGN0261502	765
FBGN0037501	1935
FBGN0051544	792
FBGN0054023	363
FBGN0037502	1878
FBGN0037503	1230
FBGN0011999	73
FBGN0263565	92
FBGN0011998	73
FBGN0266239	723
FBGN0012000	73
FBGN0037504	911
FBGN0043853	316
FBGN0065099	444
FBGN0012001	73
FBGN0015569	2341
FBGN0261508	255
FBGN0015577	3455
FBGN0037506	1426
FBGN0015576	2646
FBGN0017456	637
FBGN0015575	2017
FBGN0015574	1836
FBGN0027934	1345
FBGN0015831	1026
FBGN0003885	1980
FBGN0261393	2490
FBGN0015572	1749
FBGN0015571	1932
FBGN0015570	2141
FBGN0015568	2123
FBGN0267105	291
FBGN0083963	6650
FBGN0265420	409
FBGN0051146	6006
FBGN0265200	713
FBGN0037512	1820
FBGN0262899	491
FBGN0266240	601
FBGN0037513	1361
FBGN0037514	775
FBGN0037515	1998
FBGN0037516	838
FBGN0042104	1408
FBGN0042102	1567
FBGN0042105	1509
FBGN0042103	1487
FBGN0037517	1864
FBGN0037518	1510
FBGN0042101	1336
FBGN0037519	2573
FBGN0037520	1432
FBGN0037521	3935
FBGN0051472	1314
FBGN0051473	981
FBGN0085413	9058
FBGN0037525	7157
FBGN0037526	2748
FBGN0037529	1293
FBGN0260005	4367
FBGN0037530	3292
FBGN0024909	2261
FBGN0004901	2105
FBGN0014930	1210
FBGN0014931	2003
FBGN0037531	3399
FBGN0002542	3543
FBGN0261453	122
FBGN0000504	9053
FBGN0037533	2371
FBGN0010401	604
FBGN0259974	685
FBGN0037534	1974
FBGN0037535	1091
FBGN0266598	580
FBGN0037536	3663
FBGN0037537	1309
FBGN0040524	830
FBGN0037538	1488
FBGN0037539	1822
FBGN0037540	2649
FBGN0037541	7468
FBGN0001255	1094
FBGN0037543	1263
FBGN0037544	871
FBGN0010812	3236
FBGN0266241	1377
FBGN0262362	1196
FBGN0263596	225
FBGN0262363	329
FBGN0037546	4823
FBGN0086052	96
FBGN0037547	1976
FBGN0265418	417
FBGN0037548	1879
FBGN0243512	3171
FBGN0265419	1245
FBGN0037549	2375
FBGN0037550	883
FBGN0037551	1901
FBGN0051583	74
FBGN0011963	73
FBGN0011962	73
FBGN0011961	73
FBGN0011960	73
FBGN0011959	73
FBGN0001138	4090
FBGN0262994	392
FBGN0262995	452
FBGN0261290	582
FBGN0037552	1778
FBGN0037553	2043
FBGN0267111	6900
FBGN0267110	1249
FBGN0267109	620
FBGN0037554	3284
FBGN0037555	2636
FBGN0037556	2815
FBGN0042182	3544
FBGN0064126	3593
FBGN0040528	1542
FBGN0260386	2402
FBGN0037560	992
FBGN0010173	2135
FBGN0014861	2898
FBGN0037561	1954
FBGN0010433	1223
FBGN0265377	465
FBGN0037562	681
FBGN0037563	1122
FBGN0051464	741
FBGN0051463	1275
FBGN0037565	5570
FBGN0037566	1220
FBGN0265351	1225
FBGN0265101	1085
FBGN0037569	1063
FBGN0263550	55
FBGN0037570	1898
FBGN0037571	935
FBGN0037572	910
FBGN0037573	1481
FBGN0037574	1643
FBGN0266742	1023
FBGN0062412	953
FBGN0003129	2566
FBGN0037576	1194
FBGN0037577	616
FBGN0040529	697
FBGN0004908	656
FBGN0037578	1856
FBGN0037579	587
FBGN0037580	2613
FBGN0037581	1581
FBGN0261108	3003
FBGN0020249	1583
FBGN0037583	2146
FBGN0037584	1069
FBGN0266801	13576
FBGN0037589	519
FBGN0037590	1173
FBGN0037591	1170
FBGN0037592	2324
FBGN0051454	1736
FBGN0051259	2464
FBGN0040531	455
FBGN0267135	365
FBGN0267134	476
FBGN0037594	1239
FBGN0051453	2108
FBGN0051450	581
FBGN0051460	717
FBGN0265318	823
FBGN0266916	4682
FBGN0261929	6333
FBGN0026399	1404
FBGN0012028	73
FBGN0012027	73
FBGN0037601	2138
FBGN0024326	4110
FBGN0037602	410
FBGN0000447	1472
FBGN0037603	804
FBGN0259992	658
FBGN0263231	3970
FBGN0086679	2837
FBGN0037606	2796
FBGN0037607	2748
FBGN0012026	73
FBGN0012025	73
FBGN0012024	73
FBGN0037608	1036
FBGN0037609	1021
FBGN0037610	1254
FBGN0037611	946
FBGN0053325	965
FBGN0266242	455
FBGN0265158	384
FBGN0001180	3835
FBGN0037613	3024
FBGN0037612	2229
FBGN0037614	2812
FBGN0037615	1908
FBGN0037616	1620
FBGN0037617	1862
FBGN0037618	1141
FBGN0037619	1328
FBGN0037620	1159
FBGN0037621	1519
FBGN0037622	3092
FBGN0037623	3659
FBGN0037624	2253
FBGN0083971	7398
FBGN0037625	7452
FBGN0265159	1853
FBGN0037626	1562
FBGN0037627	1271
FBGN0085330	307
FBGN0046874	9259
FBGN0261015	9865
FBGN0053191	1545
FBGN0053189	677
FBGN0037630	2139
FBGN0037632	1964
FBGN0037633	2186
FBGN0037634	1207
FBGN0037635	2642
FBGN0037636	6529
FBGN0262604	293
FBGN0040532	774
FBGN0037637	955
FBGN0037638	2450
FBGN0262614	15740
FBGN0011966	73
FBGN0053551	73
FBGN0264790	820
FBGN0003015	2869
FBGN0037643	2323
FBGN0037644	1885
FBGN0037645	4569
FBGN0037646	1142
FBGN0037647	1408
FBGN0027503	5607
FBGN0260243	2136
FBGN0037648	1733
FBGN0051100	2688
FBGN0037650	857
FBGN0037652	1238
FBGN0026380	914
FBGN0037653	1575
FBGN0037654	1813
FBGN0037655	2989
FBGN0040534	370
FBGN0037656	1262
FBGN0264075	3108
FBGN0002932	4309
FBGN0063298	1893
FBGN0037657	2479
FBGN0010222	1516
FBGN0014018	3499
FBGN0028708	1463
FBGN0037659	5489
FBGN0037660	1882
FBGN0037661	1121
FBGN0003165	11798
FBGN0037662	1525
FBGN0266706	797
FBGN0000412	1877
FBGN0260935	4542
FBGN0037664	2330
FBGN0037665	1528
FBGN0037666	1139
FBGN0037667	1393
FBGN0037668	908
FBGN0037669	708
FBGN0037670	963
FBGN0037671	1468
FBGN0037672	1428
FBGN0010803	1683
FBGN0261241	2741
FBGN0037676	2682
FBGN0037675	592
FBGN0037677	857
FBGN0037678	873
FBGN0037679	2113
FBGN0037680	1748
FBGN0262993	1770
FBGN0266410	8254
FBGN0086053	75
FBGN0086054	75
FBGN0263750	2964
FBGN0037683	1282
FBGN0037684	1727
FBGN0000723	5128
FBGN0037685	1179
FBGN0083953	428
FBGN0037686	927
FBGN0037687	1069
FBGN0037688	1578
FBGN0037689	2767
FBGN0260237	2767
FBGN0265201	476
FBGN0003889	1841
FBGN0037690	1727
FBGN0011740	4002
FBGN0261552	13660
FBGN0037696	913
FBGN0037697	2325
FBGN0037698	12531
FBGN0266730	612
FBGN0043791	1862
FBGN0014380	1412
FBGN0037700	1156
FBGN0267790	2358
FBGN0003205	1958
FBGN0014022	1444
FBGN0014023	905
FBGN0037703	3186
FBGN0037702	5116
FBGN0262180	76
FBGN0000244	4774
FBGN0037705	7274
FBGN0260722	1968
FBGN0037707	1370
FBGN0037708	1652
FBGN0037709	1750
FBGN0024833	1755
FBGN0027950	1225
FBGN0037710	1589
FBGN0261049	2055
FBGN0037712	2734
FBGN0037713	1028
FBGN0037714	681
FBGN0037715	1410
FBGN0027338	2867
FBGN0037716	3125
FBGN0037717	3094
FBGN0053654	507
FBGN0037718	2217
FBGN0037719	1535
FBGN0037720	4218
FBGN0037721	961
FBGN0037722	1295
FBGN0005585	1677
FBGN0037723	1705
FBGN0266413	1042
FBGN0003334	4069
FBGN0012344	2402
FBGN0037724	1177
FBGN0037726	14650
FBGN0263389	570
FBGN0037727	2197
FBGN0037728	1120
FBGN0028997	1392
FBGN0037730	2062
FBGN0069242	946
FBGN0037731	1263
FBGN0260463	3984
FBGN0053105	3554
FBGN0052939	1264
